Date,Open,High,Low,Close,Adj Close,Volume
2008-11-07,77.225723,79.285072,74.342628,74.342628,74.342628,84358
2008-11-10,78.255402,79.491013,70.429855,71.871407,71.871407,103148
2008-11-11,68.988312,70.223923,65.075539,66.311150,66.311150,237669
2008-11-12,69.812050,69.812050,61.986511,63.428059,63.428059,142036
2008-11-13,63.428059,63.428059,59.927158,61.162769,61.162769,128858
2008-11-14,64.869606,65.899284,59.721226,60.544964,60.544964,148847
2008-11-17,60.750900,61.986511,58.485615,59.103420,59.103420,107229
2008-11-18,59.927158,59.927158,56.632195,58.691547,58.691547,160739
2008-11-19,59.721226,59.721226,55.396584,58.279678,58.279678,171550
2008-11-20,55.602520,57.044067,50.866009,54.984715,54.984715,295795
2008-11-21,54.572842,60.956837,54.572842,57.661873,57.661873,251177
2008-11-24,59.309353,60.956837,56.632195,58.691547,58.691547,200065
2008-11-25,59.927158,59.927158,56.014389,56.014389,56.014389,146667
2008-11-26,56.220325,60.339031,55.602520,58.073742,58.073742,118502
2008-11-27,61.574642,61.574642,57.661873,58.897484,58.897484,49533
2008-11-28,60.956837,60.956837,58.279678,60.339031,60.339031,112859
2008-12-01,61.780579,63.633995,61.368706,61.780579,61.780579,117697
2008-12-02,62.398384,67.546761,61.780579,65.075539,65.075539,168338
2008-12-03,68.370506,68.370506,62.604317,64.045868,64.045868,64306
2008-12-04,64.045868,66.105217,62.604317,64.251801,64.251801,53071
2008-12-05,64.251801,65.693344,59.103420,59.103420,59.103420,123329
2008-12-08,61.780579,66.928955,61.574642,65.487411,65.487411,109412
2008-12-09,63.839931,67.958633,63.839931,66.928955,66.928955,190400
2008-12-10,67.134895,69.606117,63.839931,68.988312,68.988312,184102
2008-12-11,67.958633,79.079140,66.105217,73.930756,73.930756,362974
2008-12-12,69.194244,74.342628,67.958633,71.871407,71.871407,185011
2008-12-15,80.314751,84.433456,72.695145,72.695145,72.695145,200003
2008-12-16,75.990112,77.019783,72.695145,76.196045,76.196045,132290
2008-12-17,76.401978,76.813850,72.695145,74.548561,74.548561,127419
2008-12-18,74.548561,81.550362,74.136688,77.225723,77.225723,250932
2008-12-19,75.166367,79.285072,73.930756,79.285072,79.285072,109468
2008-12-22,77.637589,81.756294,76.813850,81.756294,81.756294,167038
2008-12-23,78.461334,80.932556,78.049461,79.285072,79.285072,65164
2008-12-29,77.431656,82.374100,77.225723,78.255402,78.255402,59808
2008-12-30,77.225723,80.726624,75.784172,78.049461,78.049461,162573
2009-01-02,84.021584,90.405579,83.815651,89.993706,89.993706,198012
2009-01-05,90.405579,100.496407,90.405579,96.995506,96.995506,89308
2009-01-07,97.819244,98.437050,90.405579,92.464928,92.464928,208362
2009-01-08,89.169968,95.348022,89.169968,94.936157,94.936157,98392
2009-01-09,94.936157,95.553963,93.082733,94.318352,94.318352,69304
2009-01-12,95.553963,97.201439,93.288673,97.201439,97.201439,149646
2009-01-13,96.789574,101.114212,95.965828,100.908279,100.908279,127218
2009-01-14,105.026978,105.541817,96.583633,97.819244,97.819244,238681
2009-01-15,98.025185,102.967628,95.348022,98.231117,98.231117,155802
2009-01-16,102.143890,102.349823,96.171768,96.171768,96.171768,70462
2009-01-19,96.789574,98.025185,95.142090,97.201439,97.201439,71220
2009-01-20,99.466728,99.466728,92.876801,93.906479,93.906479,128306
2009-01-21,93.906479,94.112411,86.492805,88.964027,88.964027,174799
2009-01-22,92.053062,92.670868,85.669067,87.728416,87.728416,133332
2009-01-23,87.316551,88.552162,84.639389,86.698746,86.698746,138869
2009-01-26,84.639389,91.023384,84.433456,88.552162,88.552162,145290
2009-01-27,86.904678,87.316551,82.580040,86.492805,86.492805,186186
2009-01-28,88.552162,94.112411,87.522484,91.435257,91.435257,244983
2009-01-29,91.435257,93.700539,89.581841,92.258995,92.258995,67958
2009-01-30,92.670868,93.494606,88.140289,91.229317,91.229317,126252
2009-02-02,85.875000,90.199646,85.463135,88.758095,88.758095,164171
2009-02-03,73.930756,75.990112,68.782379,73.724823,73.724823,891674
2009-02-04,74.136688,76.607918,74.136688,75.578239,75.578239,237282
2009-02-05,75.372307,75.578239,72.077339,74.960434,74.960434,125014
2009-02-06,76.196045,76.196045,71.253601,74.754501,74.754501,203191
2009-02-09,76.196045,76.196045,74.548561,76.196045,76.196045,123966
2009-02-10,75.166367,75.166367,67.340828,67.752701,67.752701,292676
2009-02-11,70.429855,73.107018,68.988312,69.606117,69.606117,237780
2009-02-12,72.077339,73.518890,67.958633,70.017990,70.017990,172001
2009-02-13,72.077339,72.695145,71.253601,72.283272,72.283272,104884
2009-02-16,70.017990,72.901077,70.017990,71.665466,71.665466,108099
2009-02-17,71.459534,71.871407,70.017990,71.459534,71.459534,134625
2009-02-18,70.635796,70.635796,65.075539,65.487411,65.487411,129522
2009-02-19,66.517090,67.134895,65.075539,65.281479,65.281479,82168
2009-02-20,64.869606,64.869606,61.574642,61.780579,61.780579,117002
2009-02-23,63.839931,64.663673,58.691547,60.956837,60.956837,102196
2009-02-24,60.133095,60.339031,55.190647,55.190647,55.190647,152026
2009-02-25,59.721226,60.133095,51.689751,52.307556,52.307556,326485
2009-02-26,52.307556,55.602520,49.424461,54.366909,54.366909,343646
2009-02-27,54.366909,55.396584,52.101620,53.543167,53.543167,149776
2009-03-02,54.572842,54.572842,50.660072,50.866009,50.866009,156608
2009-03-03,50.866009,51.071945,48.806656,49.012592,49.012592,275190
2009-03-04,49.630398,50.042267,48.600719,49.424461,49.424461,196748
2009-03-05,49.630398,49.836330,43.040466,45.511692,45.511692,222013
2009-03-06,45.305756,45.305756,42.834534,42.834534,42.834534,168470
2009-03-09,45.305756,45.717628,42.216728,42.628597,42.628597,97931
2009-03-10,45.099819,45.099819,43.658276,43.658276,43.658276,87904
2009-03-11,44.276081,48.600719,44.070145,45.511692,45.511692,197356
2009-03-12,46.541367,47.365108,44.482014,45.305756,45.305756,190655
2009-03-13,48.600719,53.749104,47.982914,52.307556,52.307556,610277
2009-03-16,62.042713,76.292358,56.746384,69.356689,69.356689,725170
2009-03-17,72.509270,75.661842,66.834633,68.095657,68.095657,397800
2009-03-18,71.248238,71.248238,68.095657,69.987206,69.987206,130553
2009-03-19,71.248238,73.139786,69.987206,71.248238,71.248238,106177
2009-03-20,72.509270,76.292358,69.356689,73.139786,73.139786,376534
2009-03-23,71.248238,71.248238,53.972115,54.980942,54.980942,970987
2009-03-24,58.007416,59.772858,50.819538,52.584984,52.584984,402995
2009-03-25,52.206673,52.963291,49.306301,52.963291,52.963291,246100
2009-03-26,52.963291,53.215496,51.197849,53.089394,53.089394,133686
2009-03-27,52.584984,54.098221,50.189026,54.098221,54.098221,233000
2009-03-30,53.467705,53.467705,51.828365,52.206673,52.206673,289342
2009-03-31,52.206673,53.089394,49.936817,52.332775,52.332775,275963
2009-04-01,52.206673,59.898960,52.206673,59.898960,59.898960,398297
2009-04-02,60.025063,74.400810,59.394547,71.878754,71.878754,539377
2009-04-03,69.356689,71.878754,66.204117,71.248238,71.248238,302942
2009-04-06,71.248238,77.553391,67.465141,69.356689,69.356689,330335
2009-04-07,68.726173,68.726173,63.682053,64.943085,64.943085,209563
2009-04-08,63.682053,63.682053,53.846012,54.980942,54.980942,1225185
2009-04-09,56.115868,57.376900,54.854836,55.485352,55.485352,266878
2009-04-14,56.115868,56.115868,50.945641,52.332775,52.332775,774454
2009-04-15,50.945641,50.945641,48.045273,49.558510,49.558510,1080162
2009-04-16,49.810715,49.810715,48.045273,49.054096,49.054096,953644
2009-04-17,49.558510,50.062920,48.045273,49.180199,49.180199,917807
2009-04-20,49.810715,50.062920,44.892693,47.036446,47.036446,1209769
